กลิ่น (scent),ขนาด (size),เกรด (grade),SKU,Barcode
Dynasty,10 ml.,EDP,DYY-10 ml,8857128012128
Dynasty,30 ml.,EDP,AMS-30 ml,8857128011812
Dynasty,4 ml.,EDP,DYY-4 ml,8857128012129
Dynasty,50 ml.,EDP,DYY-50 ml,8857128011010
Dynasty TRY ME!,30 ml.,EDP,DYM-30 ml,DYM30
Dynasty TRY ME!,50 ml.,EDP,DYM-50 ml,DYM50
Eden,10 ml.,EDP,EDN-10 ml,8857128012058
Eden,30 ml.,EDP,EDN-30 ml,8857128012057
Eden,4 ml.,EDP,EDN-4 ml,8857128012059
Eden,50 ml.,EDP,EDN-50 ml,8857128011317
Eden TRY ME!,30 ml.,EDP,EDM-30 ml,EDM30
Eden TRY ME!,50 ml.,EDP,EDM-50 ml,EDM50
Elite,50 ml,EDP,,8857128011324
Excalibur (EDP),10 ml.,EDP,EXR-10 ml,8857128012062
Excalibur (EDP),30 ml.,EDP,EXR-30 ml,8857128011935
Excalibur (EDP),4 ml.,EDP,EXR-4 ml,8857128012063
Excalibur (EDP),50 ml.,EDP,EXR-50 ml,8857128011133
Excalibur (EDP) TRY ME!,30 ml.,EDP,EXM-30 ml,EXM30
Excalibur (EDP) TRY ME!,50 ml.,EDP,EXM-50 ml,EXM50
Fortuna,10 ml.,EDP,FOM-10ml,8857128012173
Fortuna,30 ml.,EDP,FOM-30ml,8857128012172
Fortuna,4 ml.,EDP,FOM-4ml,8857128012174
Fortuna,50 ml.,EDP,FOM-50ml,8857128011829
Fortuna TRY ME!,50 ml.,EDP,FOR-50ml,FOM50
Found Peony,10 ml.,EDP,FPY-10 ml,8857128012090
Found Peony,30 ml.,EDP,FPY-30 ml,8857128012089
Found Peony,4 ml.,EDP,FPY-4 ml,8857128012091
Found Peony,50 ml.,EDP,FPY-50 ml,8857128011218
Found Peony TRY ME!,30 ml.,EDP,FPM-30 ml,FPM30
Found Peony TRY ME!,50 ml.,EDP,FPM-50 ml,FPM50
Frisky,50 ml,EDP,,8857128011447
Gambling34+35,10 ml.,PARFUM,GAG-10 ml,8857128012103
Gambling34+35,4 ml.,PARFUM,GAG-4 ml,8857128012104
Gambling34+35,50 ml.,PARFUM,GAG-50 ml,8857128011591
Gambling34+35 TRY ME!,30 ml.,PARFUM,GAM-30 ml,GAM30
Gambling34+35 TRY ME!,50 ml.,PARFUM,GAM-50 ml,GAM50
